id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42749669,Newly build house with heated pool in Stockholm,47466739,Gabriel,,Skarpnäcks,59.2556,18.19151,Entire home/apt,3400,4,5,2022-08-05,0.19,1,140,2,
42784546,Healing Camp - Mind & Body,62884716,Pernilla,,Hässelby-Vällingby,59.39203,17.77311,Private room,3900,1,0,,,7,173,0,
42803364,J Newport Large @ HotelJ,335335612,Hotel J,,Östermalms,59.31766,18.16487,Private room,2590,1,0,,,6,35,0,
42803652,J Newport Seaview @ Hotel J,335335612,Hotel J,,Östermalms,59.31813,18.16346,Private room,2790,1,0,,,6,55,0,
42803809,J Etage Suite @ Hotel J,335335612,Hotel J,,Östermalms,59.31737,18.16507,Private room,3290,1,0,,,6,42,0,
42804055,Classic @ Stallmästaregården,335343810,Stallmästaregården,,Norrmalms,59.35311,18.04329,Private room,1490,1,0,,,5,39,0,
42804520,Superior @ Stallmästaregården,335343810,Stallmästaregården,,Norrmalms,59.3519,18.04168,Private room,1690,1,0,,,5,53,0,
42805009,Deluxe @ Stallmästaregården,335343810,Stallmästaregården,,Norrmalms,59.35403,18.03962,Private room,1890,1,0,,,5,39,0,
42805162,Junior Suite Etage @ Stallmästaregården,335343810,Stallmästaregården,,Norrmalms,59.35097,18.04244,Private room,2490,1,0,,,5,57,0,
42805441,Royal Haga Suite @ Stallmästaregården,335343810,Stallmästaregården,,Norrmalms,59.35262,18.04213,Private room,3500,1,0,,,5,30,0,
42824363,Twin Room @ Stockholm Hostel (Windowless),259019701,Marius,,Kungsholmens,59.33633,18.03009,Private room,771,1,97,2022-08-31,4.14,6,364,81,
42825028,Quadruple Room @ Stockholm Hostel (Windowless),259019701,Marius,,Kungsholmens,59.335,18.02989,Private room,1032,1,53,2022-08-31,2.06,6,362,43,
42827758,Beautiful artsy apartment in trendy Hornstull,48842662,Olivia,,Södermalms,59.31549,18.02903,Entire home/apt,1500,2,7,2022-08-28,2.02,1,0,7,
42862823,Stay close to nature only 15 min from the city,337719825,Fredrik,,Skarpnäcks,59.2252,18.14898,Entire home/apt,500,2,3,2020-06-18,0.10,1,0,0,
42870360,Family studio in perfect conditions,288322368,Studio Hotel Kista,,Rinkeby-Tensta,59.39888,17.95354,Entire home/apt,1050,6,9,2022-08-02,0.33,3,76,3,
42871858,4. Old Town Studio,325886610,Old Town Studio,,Södermalms,59.32269,18.07039,Entire home/apt,920,1,193,2022-09-08,6.64,4,295,91,
42880452,熊熊家的小窝,341445444,熊熊,,Skärholmens,59.28869,17.92591,Shared room,630,1,0,,,1,40,0,
42920494,Long stay in a Central located Hotel in Stockholm,116044429,Guven,,Norrmalms,59.33658,18.05251,Private room,600,1,16,2022-08-23,0.52,8,0,11,
42928362,White House,74489051,Danyela,,Spånga-Tensta,59.41528,17.86571,Entire home/apt,600,2,0,,,5,334,0,
42936035,Fully equipped Studio  w. free parking,16683151,Olof,,Östermalms,59.35956573486328,18.1357479095459,Entire home/apt,634,3,322,2022-09-21,10.88,13,363,304,
42970803,Charming Studio / Free Parking and close to Nature,135323554,Andreas,,Östermalms,59.35956573486328,18.1357479095459,Entire home/apt,860,3,38,2022-08-15,1.73,13,249,29,
42970862,Convenient Studio in Lindigö with Free parking,135323554,Andreas,,Östermalms,59.35956573486328,18.1357479095459,Entire home/apt,921,2,55,2022-07-04,2.17,13,54,33,
43012846,Brommavik Hotel,310620582,Brommavik Hotel,,Bromma,59.35951,17.96011,Hotel room,0,1,0,,,1,0,0,
43029788,Stay in a Junior Suite room in Stockholm,116044429,Guven,,Norrmalms,59.33836,18.05442,Private room,2758,1,2,2021-03-29,0.09,8,306,0,
43031509,Beautiful newly renovated flat in Södermalm,22876006,Hedvig,,Södermalms,59.30902,18.08734,Entire home/apt,2513,3,75,2022-09-06,2.56,73,325,39,
43033836,Modern Spacious 5BR Home,342498674,Lauren,,Kungsholmens,59.32152,17.99198,Entire home/apt,5408,5,0,,,1,362,0,
43057092,Modern apartment 5 min from Södermalm,12575400,Malin,,Skarpnäcks,59.29537,18.09293,Entire home/apt,500,3,2,2021-08-02,0.08,1,0,0,
43068698,Lägenhet nära stan,226893858,Jef,,Hägersten-Liljeholmens,59.29737,17.98003,Entire home/apt,800,1,0,,,1,0,0,
43084694,Small gem in lively Södermalm,342933547,Joanna,,Södermalms,59.31558,18.09036,Entire home/apt,500,90,6,2022-01-31,0.24,1,0,1,
43109593,Bright 1-bedroom apt with balcony,22876006,Hedvig,,Enskede-Årsta-Vantörs,59.29475,18.08416,Entire home/apt,1569,3,30,2022-09-21,1.00,73,346,17,
43130314,Cozy Studio in trendy Neighborhood,16683151,Olof,,Södermalms,59.31359,18.09041,Entire home/apt,1059,3,108,2022-09-13,3.74,13,329,56,
43162878,"Nice apartments in SoFo, 61sqm",240767680,Julius Apartment,,Södermalms,59.31417,18.08263,Entire home/apt,600,2,3,2021-12-16,0.11,11,0,1,
43232688,Centralt med bra kommunikationer,109009000,Katrin,,Enskede-Årsta-Vantörs,59.29599,18.04224,Private room,6500,30,0,,,1,180,0,
43259150,Cozy apartment near the beach,7584177,Emma,,Hässelby-Vällingby,59.36389,17.82173,Entire home/apt,899,3,3,2022-08-08,1.06,1,0,3,
